OPT_Code,Name,Affiliation,Site_Type,Street_Address,Zip,Longitude,Latitude
2370,H.S. FOR LEADERSHIP & PUBL.SER,Public,School,90 TRINITY PLACE,10006,-74.012452,40.708719
2374,GRAMMERCY ARTS HS,Public,School,40 IRVING PLACE,10003,-73.987544,40.735491
2376,NYCi SCHOOL,Public,School,131 AVE OF THE AMERICAS,10013,-74.004837,40.724371
2378,INSTITUTE FOR COLLABORATIVE ED,Public,School,345 EAST 15 ST,10003,-73.982996,40.732519
2380,HEALTH PROF & HUMAN SER. HS,Public,School,345 EAST 15 STREET,10003,-73.982996,40.732519
2392,MANHATTAN BUSINESS ACADEMY,Public,School,351 WEST 18TH STREET,10011,-74.002069,40.742925
2393,THE BUSINESS OF SPORTS SCHOOL,Public,School,439 WEST 49TH STREET,10019,-73.990541,40.763436
2394,EMMA LAZARUS HS,Public,School,100 HESTER STREET,10002,-73.993126,40.71648
2397,SPRUCE STREET SCHOOL,Public,School,12 SPRUCE STREET,10038,-74.005557,40.71127
2398,PS 276 BATTERY PARK CITY SCH,Public,School,55 BATTERY PLACE,10280,-74.017723,40.706408
2399,HS FOR LANGUAGE & DIPLOMACY,Public,School,40 IRVING PLACE,10003,-73.987544,40.735491
2408,PASSAGES ACADEMY (MAN),Public,School,346 BROADWAY - 6TH FL.,10011,-74.004079,40.716653
2414,P094M @ P 51,Public,School,525 WEST 44TH STREET,10036,-73.995759,40.761541
2418,BALLET TECH,Public,School,890 BROADWAY,10003,-73.989815,40.738574
2419,TALENT UNLIMITED HIGH SCHOOL,Public,School,300 EAST 68TH STREET,10021,-73.959933,40.766016
2420,OFFICE OF COOPERATIVE ED,Public,Office,439 WEST 49TH STREET,10019,-73.990541,40.763436
2431,P721M @ STUYVESANT HS,Public,School,345 CHAMBERS STREET,10282,-74.013634,40.717627
2432,M.S. 114 EAST SIDE MS,Public,School,331 EAST 91 STREET,10128,-73.948513,40.780777
2436,SCHOOL OF THE FUTURE,Public,School,127 EAST 22 STREET,10010,-73.985439,40.739024
2439,PS 723 AT CUNY,Other Religion,School,33 WEST 42 STREET,10036,-73.982029,40.754059
2441,ABC-MERRICAT'S CASTLE SCH,Nonsectarian,School,316 EAST 88 STREET,10128,-73.950231,40.778846
2442,P226M @ HLTH PROF. & HUM SERV.,Public,School,345 EAST 15 STREET ROOM 202,10003,-73.982996,40.732519
2444,P226M @ JULIA RICHMAN HS,Public,School,317 EAST 67 STREET,10021,-73.96002,40.765429
2452,PUBLIC SCHOOL REPERTORY COM.,Public,School,123 WEST 43 STREET,10036,-73.98433,40.75591
2454,COOKE CTR.@ OUR LADY OF POMPEI,Nonsectarian,School,240 BLEEKER ST,10014,-74.002746,40.730584
2455,N.Y.C. LAB SCHOOL AT PS 198,Public,School,1700 THIRD AVENUE,10128,-73.949701,40.784861
2461,SATELLITE ACADEMY HS,Public,School,120 WEST 30TH STREET,10001,-73.990495,40.747548
2462,HARVEY MILK HIGH SCHOOL,Public,School,2 ASTOR PLACE,10003,-73.992652,40.729963
2465,NEW YORK CITY LAB HS,Public,School,333 WEST 17 STREET,10011,-74.002125,40.742184
2466,THE LIGHTHOUSE CHILD DEV CTR,Nonsectarian,School,111 EAST 59 STREET,10022,-73.969139,40.76273
2482,CLINTON FAMILY RESIDENCE  STH,Public,Office,521 WEST 49TH STREET,10038,-73.993435,40.764655
2483,PROF. PERFORMING ARTS SCHOOL,Public,School,328 WEST 48 STREET,10036,-73.988066,40.761382
2484,P401M @ NY FOUNDLING HOSPITAL,Public,School,590 AVENUE OF THE AMERICAS,10011,-73.995443,40.739102
2488,UNITY H.S.,Public,School,111 EAST 33RD STREET  7TH FL,10016,-73.981243,40.746266
2490,P226M @ STUYVESANT HS,Public,School,345 CHAMBERS STREET,10028,-74.013634,40.717627
2491,COOPER UNION SCH OF ENGINEER,Public,Office,41 COOPER SQUARE,10003,-73.99067,40.728322
2492,PS 212,Public,School,328 WEST 48 STREET,10036,-73.988066,40.761382
2494,PS 290 MANHATTAN NEW SCHOOL,Public,School,311 EAST 82 STREET,10028,-73.953054,40.775146
2495,NYC MUSEUM SCHOOL,Public,School,333 WEST 17 STREET,10011,-74.002125,40.742184
2497,RE-START,Public,School,448 WEST 56 STREET,10019,-73.987652,40.767755
2503,BROOME STREET ACAD CHARTER HS,Charter,School,555 BROOME STREET,10013,-74.005638,40.724275
2504,URBAN ASSEMBLY GATEWAY TECH,Public,School,439 WEST 49TH STREET,10019,-73.990541,40.763436
2506,NORMAN THOMAS SHELTER,Nonsectarian,School,111 EAST 33RD ST,10016,-73.981243,40.746266
2507,LIBERTY HS ACAD FOR NEWCOMMERS,Public,School,250 WEST 18 STREET,10011,-73.999336,40.741581
2514,HS OF HOSPITALITY MANAGEMENT,Public,School,525 WEST 50TH STREET,10019,-73.992634,40.765137
2515,P721M @ CHELSEA HS,Public,School,131 AVENUE OF AMERICAS,10013,-74.004837,40.724371
2516,UNIVERSITY NEIGHBORHOOD H.S.,Public,School,200 MONROE STREET,10002,-73.984489,40.712323
2519,STUYVESANT HS,Public,School,345 CHAMBERS STREET,10282,-74.013634,40.717627
2524,THE HIGH SCHOOL OF TEACHING,Public,School,26 BROADWAY,10004,-74.013205,40.705667
2525,CHELSEA VOCATIONAL HS,Public,School,131 AVENUE OF THE AMERICAS,10013,-74.004837,40.724371
2526,PS 527,Public,School,323 EAST 91ST STREET,10128,-73.948654,40.780837
2527,M.S. 260 Clinton School,Public,School,10 EAST 15TH STREET,10003,-73.992792,40.736457
2530,HARVEST COLLEGIATE HS,Public,School,34 WEST 14TH STREET,10011,-73.994895,40.736446
2531,HS OF ART & DESIGN,Public,School,233 EAST 56TH STREET,10022,-73.967141,40.759303
2532,UNION SQUARE ACAD HEALTH SCI,Public,School,40 IRVING PLACE  ROOM 501,10003,-73.987544,40.735491
2533,HS OF FASHION INDUSTRIES,Public,School,225 WEST 24TH STREET,10011,-73.996018,40.745218
2537,SCH OF COOPERATIVE TECH EDUC,Public,School,321 EAST 96TH STREET,10128,-73.946336,40.784024
2538,H.S. OF ENVIRONMENTAL STUDIES,Public,School,444 WEST 56 STREET,10019,-73.987567,40.767719
2542,MANHATTAN BRIDGES HS,Public,School,525 WEST 50TH STREET,10019,-73.992634,40.765137
2543,ACAD FOR SOFTWARE ENGINEERING,Public,School,40 IRVING PLACE,10003,-73.987544,40.735491
2544,INDEPENDENCE HS WESTEND CAMPUS,Public,School,850 TENTH AVENUE,10019,-73.989022,40.768305
2545,JACQUELINE KENNEDY ONASIS H.S,Public,School,120 WEST 46 STREET,10036,-73.98313,40.757661
2546,MURRY BERGTRAUM HS,Public,School,411 PEARL STREET,10038,-74.00095,40.711428
2549,P2G @ THE DOOR,Public,School,121 6TH AVENUE,10013,-74.004788,40.723923
2551,NEW DESIGN HS,Public,School,350 GRAND STREET,10002,-73.989303,40.71685
2554,ECOLE INTERNATIONALE DE NY,Nonsectarian,School,111 EAST 22ND STREET,10010,-73.985972,40.739249
2555,MANHATTAN COMP NIGHT H.S.,Public,School,240 SECOND AVENUE,10003,-73.984579,40.732669
2561,URBAN ACADEMY LABORATORY HS,Public,School,317 EAST 67TH STREET,10021,-73.96002,40.765429
2563,ELEANOR ROOSEVELT HIGH SCHOOL,Public,School,411 EAST 76TH STREET,10011,-73.953563,40.770255
2564,P2G @ STANLEY ISAACS NEIGH CTR,Public,School,1792 First Avenue,10128,-73.946242,40.781149
2565,P2G @ CHELSEA HUDSON GUILD,Public,School,443-447 WEST 25 ST,10001,-74.001621,40.748384
2566,P138M @ P033M,Public,School,281 NINTH AVE,10001,-73.999738,40.748849
2568,THE GILLEN BREWER SCHOOL,Nonsectarian,School,410 EAST 92ND STREET,10128,-73.946154,40.780413
2569,P2G- THE DOOR,Public,School,121 6TH AVENUE,10012,-74.004788,40.723923
2571,OFF.OF FITNESS & HEALTH EDUC,Public,Office,52 CHAMBERS STREET ROOM 209,10007,-74.005623,40.713747
2573,P2G-DOOR ART ACCESS-,Public,School,121 6TH AVENUE,10012,-74.004788,40.723923
2574,JOHN V. LINDSAY WILDCAT ACAD.,Charter,School,17 BATTERY PLACE,10004,-74.01615,40.705128
2580,THE ELLA BAKER SCHOOL,Public,School,317 EAST 67 STREET,10021,-73.96002,40.765429
2582,HUMANITIES PREP. SCHOOL,Public,School,351 WEST 18 STREET,10011,-74.002069,40.742925
2583,OFF OF ENGLISH LANG LEARNERS,Public,Office,52 CHAMBERS STREET  ROOM 220,10007,-74.005623,40.713747
2586,P2G @ 29 ST,Public,School,40 EAST 29TH STREET,10016,-73.98483,40.744356
2587,Y.A.B.C.@ WASHINGTON IRVING HS,Public,School,40 IRVING PLACE,10003,-73.987544,40.735491
2589,MILLENNIUM TRIBECA HS,Public,School,75 BROAD STREET  13TH FLOOR,10004,-74.011452,40.704485
2590,LOWER MANHATTAN COMMUNITY SCH,Public,School,26 BROADWAY 6TH FLOOR,10010,-74.013205,40.705667
2596,URBAN ASSEMBLY OF DESIGN CONST,Public,School,525 WEST 50TH STREET,10019,-73.992634,40.765137
2601,P169M @ PS 59,Public,School,233 EAST 56TH STREET,10022,-73.967141,40.759303
2605,P035M @ MANHATTAN SCHOOL,Public,School,317 WEST 52 STREET,10019,-73.985876,40.763928
2606,P721M @ LEGACY HS,Public,School,34 WEST 14 STREET,10011,-73.994895,40.736446
2609,OFFICE OF SCHOOL QUALITY,Public,Office,52 CHAMBERS STREET  ROOM 310,10007,-74.005623,40.713747
2611,Keswell School,Nonsectarian,School,331 WEST 25 STREET,10001,-73.998442,40.747049
2612,HS FOR DUAL LANG.& ASIAN STUDY,Public,School,350 GRAND STREET  5TH FLOOR,10002,-73.989303,40.71685
2539,SOS,Public,School,121 6TH AVENUE,10013,-74.004788,40.723923
2541,HS OF GRAPHIC COMM ARTS,Public,School,439 WEST 49TH STREET,10019,-73.990541,40.763436
2613,P751M@ HUMANTIES PREPARATORY,Public,School,351 WEST 18TH STREET,10011,-74.002069,40.742925
2615,LA SCUOLA D'ITALIA G.MARCONI,Nonsectarian,School,406 EAST 67TH STREET,10021,-73.95795,40.764362
2616,P751M @ HUNTER COLLEGE,Public,School,695 PARK AVENUE  12TH FLOOR,10010,-73.96517,40.768888
2622,A.M.A.C. INC-SECONDARY,Other Religion,School,25 WEST 17 STREET,10011,-73.993202,40.738425
2623,P751M @ BARUCH COLLEGE,Public,School,137 EAST 25 STREET,10016,-73.983421,40.740723
2624,P751M @ GOODWILL,Public,School,220 EAST 23RD STREET,10010,-73.982552,40.738483
2625,P751M @ V.A. HOSPITAL,Public,School,423 EAST 23RD STREET  FIRST FLOOR,10010,-73.977644,40.736608
2628,OFFICE SCHOOL PROGRAMS,Public,Office,52 CHAMBERS STREET  ROOM 205,10007,-74.005623,40.713747
2629,P402X@ NY PREBYTERIAN HOSP,Public,School,525 EAST 68TH STREET 11TH FLOOR,10021,-73.955205,40.764218
2631,ROSIE'S BROADWAY KIDS DOE    S,Public,Office,445 WEST 45TH STREET,10036,-73.992482,40.760979
2632,HAWTHORNE COUNTRY DAY SCHOOL,Nonsectarian,School,156 WILLIAM STREET,10038,-74.005929,40.709933
2633,CUNY-COLLEGE NOW             S,Public,Office,101 WEST 31ST STREET  14TH FLOOR,10001,-73.989538,40.74815
2634,OFF OF SAFETY & YOUTH DEVELOP,Public,Office,52 CHAMBERS STREET  ROOM 218,10007,-74.005623,40.713747
2635,THE SPENCE SCHOOL,Nonsectarian,School,56 EAST 93RD STREET,10128,-73.955084,40.784995
2639,CASSIDY'S PLACE,Nonsectarian,School,419 EAST 86TH STREET,10028,-73.948712,40.776695
2641,HUNTINGTON LRNG CTR(IMPARITAL),Nonsectarian,School,1556 THIRD AVENUE  ROOM 209,10128,-73.953402,40.779795
2644,D-75 OFFICE OF HOME SCHOOLING,Public,Office,400 FIRST AVE  ROOM 717,10010,-73.978214,40.73707
2645,THE TRANSFIGURATION KDRG.SCH.,Nonsectarian,School,10 CONFUCIUS PLAZA,10002,-73.997487,40.714005
2646,FOOD AND FINANCE HS,Public,School,525 WEST 50TH STREET,10019,-73.992634,40.765137
2650,MS 255 SALK SCHOOL OF SCIENCE,Public,School,320 EAST 20TH STREET FOURTH FLOOR,10003,-73.98172,40.735692
2652,PACE HIGH SCHOOL,Public,School,100 HESTER STREET,10002,-73.993126,40.71648
2654,COOKE CENTER ACADEMY,Nonsectarian,School,60 MACDOUGAL STREET,10012,-74.002331,40.72766
2655,CHILD SCH M.S. PATTERSON BLDG,Nonsectarian,School,537 MAIN STREET,10044,-73.950051,40.761661
2656,CLARKE NYC AUDITORY SCHOOL,Nonsectarian,School,80 EAST END AVENUE,10028,-73.94619,40.773166
2657,P2G @ MANHATTAN LRNG CTR,Public,School,317 WEST 52 STREET,10019,-73.985876,40.763928
2658,NOTRE DAME SCHOOL,Parochial,School,327 WEST 13TH STREET,10014,-74.004239,40.739674
2661,P751M @ FASHION INDUSTRIES HS,Public,School,225 WEST 24TH STREET,10011,-73.996018,40.745218
2664,P751M @ ICD,Public,School,340 EAST 24 STREET,10010,-73.978772,40.737761
2665,SPECIAL EDUCATION INITIATIVES,Public,Office,52 CHAMBERS STREET ROOM 220,10007,-74.005623,40.713747
2666,RABBI ARTHUR SCHNEIER PK EA DA,Yeshiva,School,164 EAST 68TH STREET,10065,-73.963408,40.767482
2667,CHILD SCHOOL- HS EASTWOOD BLDG,Nonsectarian,School,566 MAIN STREET,10044,-73.949274,40.762602
2668,P226M @ MILLENNIUM HS,Public,School,75 BROAD STREET,10004,-74.011452,40.704485
2669,P169M @ METROPOLITAN HOSPITAL,Public,School,1900 2ND AVENUE-8 FLOOR SOUTH,10029,-73.945999,40.785577
2677,P138M @ SCHOOL OF THE FUTURE,Public,School,127 EAST 22 STREET,10010,-73.985439,40.739024
2685,P751M @ NYU FED CAP-SCH CAR,Public,School,119 WEST 19 STREET,10011,-73.995306,40.74084
2686,OFFICE OF HOME SCHOOLING,Public,Office,52 CHAMBERS STREET,10007,-74.005623,40.713747
2687,ACAD OF INFO-TECHNOLOGY TWEED,Public,Office,52 CHAMBERS STREET  ROOM 209,10007,-74.005623,40.713747
2688,P401M@ INTL.CTR FOR THE DIS.,Public,School,340 EAST 24TH STREET,10010,-73.978772,40.737761
2691,P138M @ JHS 47,Public,School,223 EAST 23RD STREET,10010,-73.982421,40.738622
2692,BRITISH INTERNATIONAL SCH.N.Y.,Nonsectarian,School,20 WATERSIDE PLAZA,10010,-73.974,40.737201
2696,ALTERNATE LEARNING CENTERS,Public,Office,52 CHAMBERS STREET   ROOM 218,10007,-74.005623,40.713747
2697,LINDAMOOD BELL LRNG (IMPARTIAL,Nonsectarian,School,110 E. 55th STREET,10021,-73.971043,40.759938
2699,LEARNING SPRING ELEM SCHOOL,Nonsectarian,School,247 EAST 20TH STREET,10003,-73.98312,40.736476
2701,CITY AS SCHOOL,Public,School,16 CLARKSON STREET,10014,-74.006146,40.729333
2706,LA SCUOLA NEW YORK 'G.MARCONI',Nonsectarian,School,12 EAST 96 STREET,10128,-73.955268,40.7876
2707,EAST MANHATTAN SCHOOL,Nonsectarian,School,31-35 WEST 15TH STREET,10011,-73.994224,40.737252
2710,LYCEUM KENNEDY FRENCH SCHOOL,Nonsectarian,School,225 EAST 43 ST,10017,-73.973187,40.751213
2711,CONVENT SACRED HEART SCH,Parochial,School,1 EAST 91ST STREET,10128,-73.957802,40.784691
2714,MANHATTAN H.S FOR GIRLS,Yeshiva,School,154 EAST 70 STREET,10021,-73.962719,40.76883
2715,NYCTA-FARE MEDIA PROGRAMS,Nonsectarian,Office,2 BROADWAY    D11.45,10004,-74.013088,40.704129
2716,OFF OF SCHOOL SAFETY-PBIS-SEL,Public,Office,400 1ST AVENUE  3RD FLOOR,10010,-73.978214,40.73707
2717,SACRED HEART JESUS SCH,Parochial,School,456 WEST 52ND STREET,10019,-73.98965,40.765321
2721,P721M @ MANHATTAN OTC,Public,School,250 WEST HOUSTON STREET,10014,-74.005975,40.728752
2725,ST STEPHEN OF HUNGARY SCHOOL,Parochial,School,408 EAST 82ND STREET,10028,-73.950866,40.774028
2727,TRANSFIGURATION LOWER SCHOOL,Parochial,School,29 MOTT STREET,10013,-73.998938,40.714714
2728,GUARDIAN ANGEL SCHOOL,Parochial,School,193 10TH AVENUE,10011,-74.004978,40.746754
2730,MONTESSORI SCH. OF NEW YORK,Nonsectarian,School,347 EAST 55TH STREET,10022,-73.965073,40.757613
2732,XAVIER HIGH SCHOOL,Parochial,School,30 WEST 16TH STREET,10011,-73.993834,40.73773
2733,NYC-DOE CENTRAL-,Public,Office,52 CHAMBERS STREET   ROOM 108,10007,-74.005623,40.713747
2734,THE LANG SCHOOL,Nonsectarian,School,11 BROADWAY  3RD FLOOR,10004,-74.013764,40.705454
2735,ACADEMY OF ST JOSEPH,Parochial,School,111 WASHINGTON PLACE,10014,-74.00098,40.732646
2737,MESIVTHA TIFERETH JRSLM AMER,Yeshiva,School,145 EAST BROADWAY,10002,-73.991165,40.713883
