Busbreakdown_ID,first_opt,Run_Type,Bus_No,Reason,How_Long_Delayed,Occurred_On,Boro,Bus_Company_Name,name,address,type,agency
1346273,03325,"Special Ed AM Run",2210,"Heavy Traffic",5,"9/22/15 7:55",Bronx,"G.V.C., LTD.","WADLEIGH PERF AND VISUAL ARTS","215 W 114 St","Junior/Senior High School - Public","NYC DOE"
1346068,03749,"General Ed PM Run",28752,"Mechanical Problem",45,"9/25/15 6:26",Manhattan,"CONSOLIDATED BUS TRANS. I","NY FRENCH-AMERICAN CHARTER SCHOOL","311 W 120 St","Elementary School - Public Charter","NYC DOE"
1345982,03469,"Special Ed PM Run",1011,"Heavy Traffic",30,"9/25/15 7:23",Brooklyn,"NEW DAWN TRANSIT, LLC (B2","FREDERICK DOUGLAS ACADEMY II","215 W 114 St","Junior/Senior High School - Public","NYC DOE"
1345823,03749,"Special Ed AM Run",1197,"Heavy Traffic",30,"9/25/15 6:58",Queens,"L & M BUS CORP. (B2192)","NY FRENCH-AMERICAN CHARTER SCHOOL","311 W 120 St","Elementary School - Public Charter","NYC DOE"
1345752,05197,"Special Ed AM Run",56105,"Heavy Traffic",20,"9/28/15 6:10",Queens,"ALL AMERICAN SCHOOL BUS C","PS 197 JOHN B RUSSWURM","2230 5 Ave","Elementary School - Public","NYC DOE"
1344868,03406,"Special Ed AM Run",1321,"Mechanical Problem",30,"9/30/15 7:36",Bronx,"DON THOMAS BUSES, INC. (B","PS 242 YOUNG DIPLOMATS MAGNET","134 W 122 St","Elementary School - Public","NYC DOE"
1344684,05092,"Special Ed AM Run",2826,"Mechanical Problem","","10/1/15 5:55",Brooklyn,"ALLIED TRANSIT CORP.","PS 92 MARY MCLEOD BETHUNE","222 W 134 St","Elementary School - Public","NYC DOE"
1344548,03406,"Special Ed AM Run",1321,"Heavy Traffic",7,"10/1/15 7:43",Bronx,"G.V.C., LTD.","PS 242 YOUNG DIPLOMATS MAGNET","134 W 122 St","Elementary School - Public","NYC DOE"
1344520,03149,"Special Ed AM Run",1327,"Heavy Traffic",10,"10/1/15 7:42","Staten Island","PIONEER TRANSPORTATION CO","PS 149 SOJOURNER TRUTH","41 W 117 St","Elementary School - Public","NYC DOE"
1344485,05154,"Special Ed AM Run",1426,"Heavy Traffic",30,"10/1/15 7:54",Brooklyn,"NEW DAWN TRANSIT, LLC (B2","PS 154 HARRIET TUBMAN","250 W 127 St","Elementary School - Public","NYC DOE"
1344446,03469,"Special Ed AM Run",1011,"Heavy Traffic",10,"10/1/15 8:43",Bronx,"G.V.C., LTD.","FREDERICK DOUGLAS ACADEMY II","215 W 114 St","Junior/Senior High School - Public","NYC DOE"
1343997,03469,"Special Ed AM Run",1011,"Heavy Traffic",20,"10/2/15 17:18",Bronx,"G.V.C., LTD.","FREDERICK DOUGLAS ACADEMY II","215 W 114 St","Junior/Senior High School - Public","NYC DOE"
1343908,03406,"Special Ed AM Run",1412,"Heavy Traffic",20,"10/5/15 7:02",Brooklyn,"L & M BUS CORP. (B2321)","PS 242 YOUNG DIPLOMATS MAGNET","134 W 122 St","Elementary School - Public","NYC DOE"
1343259,03422,"General Ed AM Run",21444,"Won`t Start",15,"10/7/15 7:02",Bronx,"G.V.C., LTD.","SISULU-WALKER CHARTER SCHOOL","125 W 115 St","Elementary School - Public Charter","NYC DOE"
1342947,05046,"General Ed AM Run",3000,"Heavy Traffic",10,"10/8/15 6:42",Brooklyn,"NEW DAWN TRANSIT, LLC (B2","PS 46 ARTHUR TAPPAN","2987 Frederick Douglas Blvd","Elementary School - Public","NYC DOE"
1342925,03469,"Special Ed AM Run",1722,"Flat Tire",45,"10/8/15 7:00",Brooklyn,"L & M BUS CORP. (B2192)","FREDERICK DOUGLAS ACADEMY II","215 W 114 St","Junior/Senior High School - Public","NYC DOE"
1342503,03279,"Special Ed AM Run",2688,"Heavy Traffic",15,"10/9/15 7:35",Westchester,"MAR-CAN TRANSPORT CO. INC","OPPORTUNITY CHARTER SCHOOL","240 W 113 St","Junior/Senior High School - Public Charter","NYC DOE"
1342492,03279,"Special Ed AM Run",4523,"Heavy Traffic",10,"10/9/15 7:48","Staten Island","B & F SKILLED INC.(B2192)","OPPORTUNITY CHARTER SCHOOL","240 W 113 St","Junior/Senior High School - Public Charter","NYC DOE"
1342458,03469,"Special Ed AM Run",1011,"Weather Conditions",15,"10/9/15 7:55",Westchester,"MAR-CAN TRANSPORT CO. INC","FREDERICK DOUGLAS ACADEMY II","215 W 114 St","Junior/Senior High School - Public","NYC DOE"
1341697,03329,"Special Ed PM Run",1359,"Mechanical Problem",10,"10/14/15 7:44",Bronx,"G.V.C. LTD. (B2192)","HARLEM LINK CHARTER SCHOOL","20 W 112 St","Elementary School - Public Charter","NYC DOE"
1341608,03329,"General Ed Field Trip",25593,"Mechanical Problem",10,"10/14/15 8:18",Bronx,"G.V.C., LTD.","HARLEM LINK CHARTER SCHOOL","20 W 112 St","Elementary School - Public Charter","NYC DOE"
1341528,03351,"Special Ed AM Run",1355,"Mechanical Problem",45,"10/14/15 13:48",Queens,"EMPIRE STATE BUS CORP.","HARLEM SUCCESS ACADEMY CHARTER SCH","34 W 118 St","Elementary School - Public Charter","NYC DOE"
1341522,03469,"Special Ed AM Run",1011,"Heavy Traffic","","10/14/15 13:59",Brooklyn,"RELIANT TRANS, INC. (B232","FREDERICK DOUGLAS ACADEMY II","215 W 114 St","Junior/Senior High School - Public","NYC DOE"
1341332,03076,"General Ed AM Run",1030,"Heavy Traffic",40,"10/15/15 7:32",Brooklyn,"Y & M TRANSIT CORP (B2192","PS 76 A PHILLIP RANDOLPH","220 W 121 St","Elementary School - Public","NYC DOE"
1341205,03329,"General Ed PM Run",8106,"Heavy Traffic",10,"10/15/15 8:42",Bronx,"G.V.C., LTD.","HARLEM LINK CHARTER SCHOOL","20 W 112 St","Elementary School - Public Charter","NYC DOE"
1341072,05092,"General Ed PM Run",8109,"Mechanical Problem",30,"10/16/15 6:52",Brooklyn,"L & M BUS CORP. (B2192)","PS 92 MARY MCLEOD BETHUNE","222 W 134 St","Elementary School - Public","NYC DOE"
1341069,03469,"Special Ed PM Run",1011,"Heavy Traffic",30,"10/16/15 6:53",Bronx,"VAN TRANS LLC (B2192)","FREDERICK DOUGLAS ACADEMY II","215 W 114 St","Junior/Senior High School - Public","NYC DOE"
1341057,03329,"General Ed PM Run",8015,"Mechanical Problem","","10/16/15 7:02",Bronx,"LITTLE LISA BUS CO. INC.","HARLEM LINK CHARTER SCHOOL","20 W 112 St","Elementary School - Public Charter","NYC DOE"
1340862,05200,"Special Ed AM Run",TN0309,"Heavy Traffic",60,"10/16/15 7:25",Queens,"LOGAN BUS COMPANY INC.","PS 200 THE JAMES MCCUNE SMITH SCH","2589 7 Ave","Elementary School - Public","NYC DOE"
1340399,03469,"Special Ed AM Run",1011,"Heavy Traffic",20,"10/19/15 14:13",Brooklyn,"NEW DAWN TRANSIT, LLC (B2","FREDERICK DOUGLAS ACADEMY II","215 W 114 St","Junior/Senior High School - Public","NYC DOE"
1340098,03469,"Special Ed PM Run",1011,"Heavy Traffic",10,"10/20/15 8:11",Bronx,"G.V.C., LTD.","FREDERICK DOUGLAS ACADEMY II","215 W 114 St","Junior/Senior High School - Public","NYC DOE"
1340082,03149,"Special Ed AM Run",1327,"Heavy Traffic",10,"10/20/15 8:10",Bronx,"G.V.C., LTD.","PS 149 SOJOURNER TRUTH","41 W 117 St","Elementary School - Public","NYC DOE"
1340078,03749,"Special Ed AM Run",1197,"Heavy Traffic",20,"10/20/15 6:50",Brooklyn,"RELIANT TRANS, INC. (B232","NY FRENCH-AMERICAN CHARTER SCHOOL","311 W 120 St","Elementary School - Public Charter","NYC DOE"
1340067,03406,"Special Ed AM Run",1321,"Mechanical Problem",20,"10/20/15 7:25",Brooklyn,"NEW DAWN TRANSIT, LLC (B2","PS 242 YOUNG DIPLOMATS MAGNET","134 W 122 St","Elementary School - Public","NYC DOE"
1339944,03279,"Special Ed AM Run",2688,"Heavy Traffic",20,"10/21/15 6:28",Manhattan,"LEESEL TRANSP CORP (B2192","OPPORTUNITY CHARTER SCHOOL","240 W 113 St","Junior/Senior High School - Public Charter","NYC DOE"
1339664,05046,"General Ed AM Run",3000,"Heavy Traffic",20,"10/21/15 7:50",Manhattan,"LEESEL TRANSP CORP (B2192","PS 46 ARTHUR TAPPAN","2987 Frederick Douglas Blvd","Elementary School - Public","NYC DOE"
1339466,03149,"Special Ed PM Run",1327,"Heavy Traffic",30,"10/21/15 14:13",Bronx,"DON THOMAS BUSES, INC. (B","PS 149 SOJOURNER TRUTH","41 W 117 St","Elementary School - Public","NYC DOE"
1339387,05046,"Special Ed AM Run",1303,"Heavy Traffic",20,"10/22/15 6:50",Bronx,"BORO TRANSIT, INC.","PS 46 ARTHUR TAPPAN","2987 Frederick Douglas Blvd","Elementary School - Public","NYC DOE"
1339274,03149,"Special Ed AM Run",1327,"Heavy Traffic",15,"10/22/15 7:35",Queens,"SAFE COACH INC. (B2321)","PS 149 SOJOURNER TRUTH","41 W 117 St","Elementary School - Public","NYC DOE"
1338860,03469,"Special Ed AM Run",1011,"Weather Conditions",10,"10/23/15 8:25",Manhattan,"PHILLIP BUS CORP (B2192)","FREDERICK DOUGLAS ACADEMY II","215 W 114 St","Junior/Senior High School - Public","NYC DOE"
1338438,03749,"Special Ed AM Run",1344,"Heavy Traffic",20,"10/26/15 8:02",Bronx,"G.V.C. LTD. (B2192)","NY FRENCH-AMERICAN CHARTER SCHOOL","311 W 120 St","Elementary School - Public Charter","NYC DOE"
1338394,03329,"General Ed AM Run",20414,"Heavy Traffic",20,"10/26/15 8:43",Bronx,"G.V.C., LTD.","HARLEM LINK CHARTER SCHOOL","20 W 112 St","Elementary School - Public Charter","NYC DOE"
1338383,03208,"Special Ed AM Run",2720,"Heavy Traffic",10,"10/26/15 8:55",Bronx,"G.V.C., LTD.","PS 208 ALAIN L LOCKE","21 W 111 St","Elementary School - Public","NYC DOE"
1338341,03279,"Special Ed AM Run",4523,"Heavy Traffic","","10/26/15 14:45",Bronx,"LITTLE RICHIE BUS SERVICE","OPPORTUNITY CHARTER SCHOOL","240 W 113 St","Junior/Senior High School - Public Charter","NYC DOE"
1338079,03149,"Special Ed AM Run",1327,"Heavy Traffic",5,"10/27/15 7:51","Staten Island","PIONEER TRANSPORTATION CO","PS 149 SOJOURNER TRUTH","41 W 117 St","Elementary School - Public","NYC DOE"
1337821,03749,"Special Ed AM Run",1344,"Heavy Traffic",20,"10/28/15 7:32",Bronx,"G.V.C., LTD.","NY FRENCH-AMERICAN CHARTER SCHOOL","311 W 120 St","Elementary School - Public Charter","NYC DOE"
1337815,03469,"Special Ed AM Run",1011,"Heavy Traffic",25,"10/28/15 7:34",Manhattan,"LEESEL TRANSP CORP (B2192","FREDERICK DOUGLAS ACADEMY II","215 W 114 St","Junior/Senior High School - Public","NYC DOE"
1337781,03329,"General Ed AM Run",24521,"Heavy Traffic",20,"10/28/15 7:45",Manhattan,"LEESEL TRANSP CORP (B2192","HARLEM LINK CHARTER SCHOOL","20 W 112 St","Elementary School - Public Charter","NYC DOE"
1337737,03279,"Special Ed AM Run",2688,"Heavy Traffic",20,"10/28/15 8:00",Bronx,"G.V.C., LTD.","OPPORTUNITY CHARTER SCHOOL","240 W 113 St","Junior/Senior High School - Public Charter","NYC DOE"
1337711,05046,"Special Ed AM Run",1303,"Heavy Traffic",25,"10/28/15 7:55",Brooklyn,"ALLIED TRANSIT CORP.","PS 46 ARTHUR TAPPAN","2987 Frederick Douglas Blvd","Elementary School - Public","NYC DOE"
1337691,03279,"Special Ed AM Run",4523,"Heavy Traffic",10,"10/28/15 8:26",Westchester,"MAR-CAN TRANSPORT CO. INC","OPPORTUNITY CHARTER SCHOOL","240 W 113 St","Junior/Senior High School - Public Charter","NYC DOE"
1337674,03749,"Special Ed AM Run",1197,"Heavy Traffic",15,"10/28/15 8:46",Bronx,"G.V.C., LTD.","NY FRENCH-AMERICAN CHARTER SCHOOL","311 W 120 St","Elementary School - Public Charter","NYC DOE"
1337117,05046,"General Ed AM Run",2002,"Heavy Traffic",20,"10/29/15 16:46",Queens,"RELIANT TRANS, INC. (B232","PS 46 ARTHUR TAPPAN","2987 Frederick Douglas Blvd","Elementary School - Public","NYC DOE"
1337110,03149,"Special Ed AM Run",1327,"Heavy Traffic",30,"10/30/15 5:45","","DON THOMAS BUSES, INC. (B","PS 149 SOJOURNER TRUTH","41 W 117 St","Elementary School - Public","NYC DOE"
1337015,03076,"General Ed AM Run",6133,"Heavy Traffic",20,"10/30/15 7:07",Manhattan,"LEESEL TRANSP CORP (B2192","PS 76 A PHILLIP RANDOLPH","220 W 121 St","Elementary School - Public","NYC DOE"
1336505,03149,"Special Ed AM Run",1327,"Heavy Traffic",15,"11/3/15 6:57","","RELIANT TRANS, INC. (B232","PS 149 SOJOURNER TRUTH","41 W 117 St","Elementary School - Public","NYC DOE"
1336404,05200,"Special Ed AM Run",TN0407,Other,30,"11/4/15 6:41",Manhattan,"HOYT TRANSPORTATION CORP.","PS 200 THE JAMES MCCUNE SMITH SCH","2589 7 Ave","Elementary School - Public","NYC DOE"
1336381,05175,"General Ed AM Run",6101,"Heavy Traffic",35,"11/4/15 6:45",Manhattan,"BORO TRANSIT, INC.","PS 175 HENRY H GARNET","175 W 134 St","Elementary School - Public","NYC DOE"
1336294,03469,"Special Ed AM Run",1011,"Heavy Traffic",30,"11/4/15 7:42",Brooklyn,"NEW DAWN TRANSIT, LLC (B2","FREDERICK DOUGLAS ACADEMY II","215 W 114 St","Junior/Senior High School - Public","NYC DOE"
1335992,03149,"Special Ed AM Run",1327,"Heavy Traffic",60,"11/5/15 7:31","","LOGAN BUS COMPANY INC.","PS 149 SOJOURNER TRUTH","41 W 117 St","Elementary School - Public","NYC DOE"
1335862,03279,"Special Ed PM Run",2047,"Mechanical Problem",15,"11/5/15 8:34",Bronx,"G.V.C., LTD.","OPPORTUNITY CHARTER SCHOOL","240 W 113 St","Junior/Senior High School - Public Charter","NYC DOE"
1335606,05046,"General Ed AM Run",3000,"Heavy Traffic",15,"11/6/15 7:52",Bronx,"G.V.C., LTD.","PS 46 ARTHUR TAPPAN","2987 Frederick Douglas Blvd","Elementary School - Public","NYC DOE"
1335526,03279,"Special Ed AM Run",2688,"Heavy Traffic",45,"11/6/15 14:30",Brooklyn,"JOFAZ TRANSPORTATION INC.","OPPORTUNITY CHARTER SCHOOL","240 W 113 St","Junior/Senior High School - Public Charter","NYC DOE"
1335498,05092,"Special Ed AM Run",2826,"Heavy Traffic",105,"11/9/15 5:40",Bronx,"DON THOMAS BUSES, INC. (B","PS 92 MARY MCLEOD BETHUNE","222 W 134 St","Elementary School - Public","NYC DOE"
1335421,03749,"Special Ed AM Run",1197,"Heavy Traffic",10,"11/9/15 6:48",Westchester,"MAR-CAN TRANSPORT CO. INC","NY FRENCH-AMERICAN CHARTER SCHOOL","311 W 120 St","Elementary School - Public Charter","NYC DOE"
1335418,03149,"Special Ed AM Run",1327,"Heavy Traffic",30,"11/9/15 6:58",Manhattan,"LEESEL TRANSP CORP (B2192","PS 149 SOJOURNER TRUTH","41 W 117 St","Elementary School - Public","NYC DOE"
1335185,03422,"General Ed AM Run",27704,Other,15,"11/9/15 8:26",Manhattan,"LEESEL TRANSP CORP (B2192","SISULU-WALKER CHARTER SCHOOL","125 W 115 St","Elementary School - Public Charter","NYC DOE"
1335070,03279,"Special Ed AM Run",2685,"Heavy Traffic",15,"11/10/15 6:40",Manhattan,"LEESEL TRANSP CORP (B2192","OPPORTUNITY CHARTER SCHOOL","240 W 113 St","Junior/Senior High School - Public Charter","NYC DOE"
1335030,03076,"Special Ed AM Run",2630,"Heavy Traffic",15,"11/10/15 6:52",Manhattan,"LEESEL TRANSP CORP (B2192","PS 76 A PHILLIP RANDOLPH","220 W 121 St","Elementary School - Public","NYC DOE"
1335020,03749,"Special Ed AM Run",1344,"Heavy Traffic",25,"11/10/15 6:59",Brooklyn,"SNT BUS INC","NY FRENCH-AMERICAN CHARTER SCHOOL","311 W 120 St","Elementary School - Public Charter","NYC DOE"
1334918,03749,"General Ed AM Run",25558,"Mechanical Problem",10,"11/10/15 7:40","Staten Island","PIONEER TRANSPORTATION CO","NY FRENCH-AMERICAN CHARTER SCHOOL","311 W 120 St","Elementary School - Public Charter","NYC DOE"
1334816,05046,"General Ed AM Run",3000,"Flat Tire","","11/10/15 8:33",Bronx,"RELIANT TRANS, INC. (B232","PS 46 ARTHUR TAPPAN","2987 Frederick Douglas Blvd","Elementary School - Public","NYC DOE"
1334635,03329,"Special Ed AM Run",1520,"Heavy Traffic",30,"11/12/15 7:08",Bronx,"G.V.C., LTD.","HARLEM LINK CHARTER SCHOOL","20 W 112 St","Elementary School - Public Charter","NYC DOE"
1334443,03279,"Special Ed AM Run",2688,"Heavy Traffic",15,"11/12/15 9:00",Westchester,"MONTAUK STUDENT TRANS, IN","OPPORTUNITY CHARTER SCHOOL","240 W 113 St","Junior/Senior High School - Public Charter","NYC DOE"
1334409,03329,"General Ed AM Run",28759,"Heavy Traffic","","11/12/15 14:08",Manhattan,"RELIANT TRANS, INC. (B232","HARLEM LINK CHARTER SCHOOL","20 W 112 St","Elementary School - Public Charter","NYC DOE"
1334248,05046,"General Ed AM Run",3000,"Heavy Traffic",30,"11/13/15 7:11",Brooklyn,"NEW DAWN TRANSIT, LLC (B2","PS 46 ARTHUR TAPPAN","2987 Frederick Douglas Blvd","Elementary School - Public","NYC DOE"
1334122,05046,"Special Ed AM Run",TN0315,"Flat Tire",10,"11/13/15 8:01",Bronx,"G.V.C., LTD.","PS 46 ARTHUR TAPPAN","2987 Frederick Douglas Blvd","Elementary School - Public","NYC DOE"
1334004,03469,"Special Ed AM Run",FR1011,"Flat Tire",25,"11/13/15 15:01",Bronx,"LITTLE RICHIE BUS SERVICE","FREDERICK DOUGLAS ACADEMY II","215 W 114 St","Junior/Senior High School - Public","NYC DOE"
1333879,03149,"Special Ed AM Run",1327,"Heavy Traffic",45,"11/16/15 7:01",Brooklyn,"NEW DAWN TRANSIT, LLC (B2","PS 149 SOJOURNER TRUTH","41 W 117 St","Elementary School - Public","NYC DOE"
1333828,03329,"General Ed AM Run",25606,"Mechanical Problem",30,"11/16/15 7:08","Nassau County","NEW DAWN TRANSIT, LLC (B2","HARLEM LINK CHARTER SCHOOL","20 W 112 St","Elementary School - Public Charter","NYC DOE"
1333340,03149,"Special Ed AM Run",1327,"Heavy Traffic",10,"11/17/15 8:21",Manhattan,"RELIANT TRANS, INC. (B232","PS 149 SOJOURNER TRUTH","41 W 117 St","Elementary School - Public","NYC DOE"
1333262,03076,"Special Ed PM Run",50073,"Heavy Traffic",30,"11/18/15 5:55",Queens,"JOFAZ TRANSPORTATION INC.","PS 76 A PHILLIP RANDOLPH","220 W 121 St","Elementary School - Public","NYC DOE"
1333049,03329,"General Ed AM Run",24507,"Won`t Start","","11/18/15 8:14","","RELIANT TRANS, INC. (B232","HARLEM LINK CHARTER SCHOOL","20 W 112 St","Elementary School - Public Charter","NYC DOE"
1332902,03279,"Special Ed AM Run",2594,"Mechanical Problem",20,"11/19/15 6:51",Manhattan,"LEESEL TRANSP CORP (B2192","OPPORTUNITY CHARTER SCHOOL","240 W 113 St","Junior/Senior High School - Public Charter","NYC DOE"
1332884,03149,"Special Ed PM Run",1327,"Heavy Traffic","","11/19/15 6:58",Manhattan,"RELIANT TRANS, INC. (B232","PS 149 SOJOURNER TRUTH","41 W 117 St","Elementary School - Public","NYC DOE"
1332652,03279,"Special Ed AM Run",2688,"Heavy Traffic",20,"11/20/15 6:35","","ACME BUS CORP. (B2321)","OPPORTUNITY CHARTER SCHOOL","240 W 113 St","Junior/Senior High School - Public Charter","NYC DOE"
1332644,03469,"Special Ed AM Run",1011,"Heavy Traffic",20,"11/20/15 6:50",Brooklyn,"ALLIED TRANSIT CORP.","FREDERICK DOUGLAS ACADEMY II","215 W 114 St","Junior/Senior High School - Public","NYC DOE"
1332217,03279,"Special Ed AM Run",2047,"Heavy Traffic",20,"11/23/15 7:32",Brooklyn,"RELIANT TRANS, INC. (B232","OPPORTUNITY CHARTER SCHOOL","240 W 113 St","Junior/Senior High School - Public Charter","NYC DOE"
1331909,05154,"Special Ed AM Run",1426,"Flat Tire",20,"11/24/15 7:01","","HOYT TRANSPORTATION CORP.","PS 154 HARRIET TUBMAN","250 W 127 St","Elementary School - Public","NYC DOE"
1331507,03469,"Special Ed AM Run",1011,"Heavy Traffic",20,"11/25/15 7:13",Manhattan,"LEESEL TRANSP CORP (B2192","FREDERICK DOUGLAS ACADEMY II","215 W 114 St","Junior/Senior High School - Public","NYC DOE"
1331505,03749,"Special Ed AM Run",1344,"Heavy Traffic",25,"11/25/15 7:10",Brooklyn,"BORO TRANSIT, INC.","NY FRENCH-AMERICAN CHARTER SCHOOL","311 W 120 St","Elementary School - Public Charter","NYC DOE"
1330718,05197,"Special Ed AM Run",56105,"Heavy Traffic",20,"12/1/15 7:39",Bronx,"G.V.C., LTD.","PS 197 JOHN B RUSSWURM","2230 5 Ave","Elementary School - Public","NYC DOE"
1330403,05197,"Special Ed AM Run",56105,"Weather Conditions",30,"12/2/15 6:57",Manhattan,"LEESEL TRANSP CORP (B2192","PS 197 JOHN B RUSSWURM","2230 5 Ave","Elementary School - Public","NYC DOE"
1330234,03329,"Special Ed AM Run",1520,"Weather Conditions",10,"12/2/15 7:47","Staten Island","PIONEER TRANSPORTATION CO","HARLEM LINK CHARTER SCHOOL","20 W 112 St","Elementary School - Public Charter","NYC DOE"
1329862,03469,"Special Ed AM Run",1722,"Heavy Traffic",10,"12/3/15 7:46",Queens,"L & M BUS CORP. (B2192)","FREDERICK DOUGLAS ACADEMY II","215 W 114 St","Junior/Senior High School - Public","NYC DOE"
1329095,03469,"Special Ed PM Run",FR1011,"Flat Tire",20,"12/7/15 14:34","Staten Island","RELIANT TRANS, INC. (B232","FREDERICK DOUGLAS ACADEMY II","215 W 114 St","Junior/Senior High School - Public","NYC DOE"
1329061,03406,"Special Ed AM Run",1630,"Weather Conditions",15,"12/8/15 6:16",Brooklyn,"RELIANT TRANS, INC. (B232","PS 242 YOUNG DIPLOMATS MAGNET","134 W 122 St","Elementary School - Public","NYC DOE"
1328973,03469,"Special Ed AM Run",1011,"Weather Conditions","","12/8/15 7:06",Manhattan,"RELIANT TRANS, INC. (B232","FREDERICK DOUGLAS ACADEMY II","215 W 114 St","Junior/Senior High School - Public","NYC DOE"
1328866,05175,"General Ed AM Run",6101,"Won`t Start",15,"12/8/15 7:50",Manhattan,"RELIANT TRANS, INC. (B232","PS 175 HENRY H GARNET","175 W 134 St","Elementary School - Public","NYC DOE"
1328672,05197,"Special Ed AM Run",56104,"Heavy Traffic",20,"12/9/15 6:30",Manhattan,"LEESEL TRANSP CORP (B2192","PS 197 JOHN B RUSSWURM","2230 5 Ave","Elementary School - Public","NYC DOE"
1328345,03469,"Special Ed AM Run",1011,"Heavy Traffic",20,"12/10/15 6:27",Manhattan,"LEESEL TRANSP CORP (B2192","FREDERICK DOUGLAS ACADEMY II","215 W 114 St","Junior/Senior High School - Public","NYC DOE"
